     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
 100000000,       430,         0,   252.9,pymatching,cae4ebd4785646805997c6d87cac9f60bbce96f020439188c4d2b72c2911dafe,"{""d"":5,""p"":0.0001,""r"":5}",
     20753,      5240,         0,   0.700,pymatching,ad8ce3cfef83970a28560b826e7216f3d8082da068c6958a8a550223fb811c58,"{""d"":5,""p"":0.004641588833612777,""r"":5}",
   1157393,      5000,         0,    7.40,pymatching,7b3d0afa0c993e262bb0d4c91119ebff1e6c36989a7956023386354ef880903b,"{""d"":5,""p"":0.001,""r"":5}",
 100000000,      4370,         0,   305.6,pymatching,1db00acca09bd0c15b993fe3660e834bad8f4fe46936a7bc8bf5e199f7d5e4b2,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
  11531537,      5000,         0,    47.7,pymatching,6d08df9bc9bec62d4ca0a3b84f4b85c774c342ff1428a79e52e834eae885aaa4,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
     10513,      5233,         0,   0.872,pymatching,a680241842f8516e4f93b2870505070fbe3a46235584c84a0c9816c56fd5dab5,"{""d"":5,""p"":0.01,""r"":5}",
     10513,      5131,         0,    1.68,pymatching,13bec14d67c61cabbdad70f1be24e4d10e5aa8dcf9190c22f8e7b0c97664ccb7,"{""d"":5,""p"":0.021544346900318822,""r"":5}",
    129297,      5040,         0,    1.78,pymatching,f3587d5769725f3180e8e7407df3fd093553a1999af99131fd7932f102696c08,"{""d"":5,""p"":0.002154434690031882,""r"":5}",
     10513,      5288,         0,    2.28,pymatching,2b11e3f4cd801aa8d35bc6ff67074d201b2fb9d8a9165fa0cad26f6a311be9d8,"{""d"":5,""p"":0.046415888336127774,""r"":5}",
     10513,      5314,         0,    2.65,pymatching,4e33c5c2894fbe0ca8a8aeb954e682e4c63c8d3cf29a39bd978f1212cb9d3864,"{""d"":5,""p"":0.1,""r"":5}",
 100000000,         6,         0,   634.5,pymatching,8d460ec3ebb5903c22001ac231eac0b14757b9ca43386bd267b8dabf7130175f,"{""d"":7,""p"":0.0001,""r"":7}",
 100000000,       139,         0,   748.9,pymatching,619fbc12bf87c9aaad8816bbde702ca12f9a7006ab19647acc5d7ccb31196e80,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
 100000000,      3531,         0,  1058.5,pymatching,083f7ac8fe0866332c2d57bb9cda34aa4d584a8f741a7d3fb416734ac288fa34,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
   6255889,      5000,         0,   111.6,pymatching,f8897ed3e46011d0e1909ce672d653d38ac47768c0624f689fb19fb763fe01c5,"{""d"":7,""p"":0.001,""r"":7}",
    271633,      5009,         0,    10.4,pymatching,f79d11266cc7b11652f61fa7bd82f0aa910a79f4b5f0e4e1ff3eac60109b3809,"{""d"":7,""p"":0.002154434690031882,""r"":7}",
     20753,      5256,         0,    2.22,pymatching,48469d432ca382bc25c2bcc7e938b0fcd80bd9cea4a84776a7e26285f673ade3,"{""d"":7,""p"":0.004641588833612777,""r"":7}",
     10513,      5217,         0,    2.93,pymatching,505098018af91fd2cfc29f59bcc4b10e5902d5e928e31bd82ecdca485715ae0e,"{""d"":7,""p"":0.01,""r"":7}",
     10513,      5291,         0,    5.62,pymatching,ac743b2e31fb4eff96870547a39fa26fc36f94cd660ffffff76ac5ae747742e0,"{""d"":7,""p"":0.021544346900318822,""r"":7}",
     10001,      5003,         0,    7.68,pymatching,068a920b3deb0d14745deb0f76a52fa6ec5823071c1f8229ceb424d5e0522d09,"{""d"":7,""p"":0.046415888336127774,""r"":7}",
     10001,      5076,         0,    8.72,pymatching,1bc5fb720e568922c4a78ce9a81cb36673bca2a967903eb245bae1be1aede4b7,"{""d"":7,""p"":0.1,""r"":7}",
 100000000,         0,         0,  1187.1,pymatching,83580c56dc53dad90f9878da5fc55760cde730bc199680462dd20df33cc695bf,"{""d"":9,""p"":0.0001,""r"":9}",
 100000000,         3,         0,  1544.0,pymatching,72fc3cfb5136b53292d2b44ba2883ed347ea244ccf523bf7169896af6cb9b00b,"{""d"":9,""p"":0.00021544346900318845,""r"":9}",
 100000000,       237,         0,  2288.8,pymatching,de86795c0eed56a8c46ea524f727a9ed61494bd49828bfe3064e0bc4b0a3106c,"{""d"":9,""p"":0.00046415888336127773,""r"":9}",
  38961698,      5289,         0,  1589.7,pymatching,d2988b8e67a1485e51c07cc706f2a63a103c123421fbcfcf83cd9a259efa180a,"{""d"":9,""p"":0.001,""r"":9}",
    629009,      5003,         0,    57.3,pymatching,9d7bbb3458a92ee6c554b0c0e30455d649b2b93025b7f8bbadc9842aa98306eb,"{""d"":9,""p"":0.002154434690031882,""r"":9}",
     20753,      5157,         0,    5.58,pymatching,11f0da0141613fbc970a15b741c9d1234bd982fc818a509be28a908a042afda4,"{""d"":9,""p"":0.004641588833612777,""r"":9}",
     10513,      5213,         0,    7.81,pymatching,3d158222ccf112481ca93f34d7990f934783d04899cdebce983749eb902eb25e,"{""d"":9,""p"":0.01,""r"":9}",
     10257,      5108,         0,    14.9,pymatching,dbb348878467f3b0a74e428c39ab6fa64b9713c9e5e5e9b54d3018dd1f46bd34,"{""d"":9,""p"":0.021544346900318822,""r"":9}",
     10257,      5093,         0,    21.3,pymatching,66139e60d4ea39006153ddbf9b214a5763a9cbce53a948e1e9b7424873418a5e,"{""d"":9,""p"":0.046415888336127774,""r"":9}",
     10129,      5075,         0,    24.2,pymatching,d647600aef0e65b3da3b8b08ba02817ede8903d54f36f25a72802a6cafc916bc,"{""d"":9,""p"":0.1,""r"":9}",
 100000000,         0,         0,  2263.5,pymatching,1f0ed6545452e5e0405e308a04edcb8abb6e041ed405c6da0039bed3f78848ba,"{""d"":11,""p"":0.0001,""r"":11}",
 100000000,         0,         0,  2869.9,pymatching,dd3127e2760f50f3e9dd803b0eaebec17152b6d0fa40d92171d7c4fa1ea87ed6,"{""d"":11,""p"":0.00021544346900318845,""r"":11}",
 100000000,        21,         0,  4258.3,pymatching,8040d740bed6d21c5afe430a8cf48ecec4375945b7adc09422944acf6fc69976,"{""d"":11,""p"":0.00046415888336127773,""r"":11}",
 100000000,      2145,         0,  7963.4,pymatching,07173ab7d9b662d673711ce9d6bb72d84b39310827190a09efc265cc17f97de0,"{""d"":11,""p"":0.001,""r"":11}",
   1560849,      5000,         0,   284.4,pymatching,d29d1ff0f9ed27eb30e4fa5d97a5345523f677e2219bae4b792f3067558a5ba1,"{""d"":11,""p"":0.002154434690031882,""r"":11}",
     20241,      5044,         0,    11.8,pymatching,87346f3f830ac539519e349850565e1a9ec1a97a5fca5a50094be4f64163f2b9,"{""d"":11,""p"":0.004641588833612777,""r"":11}",
     10001,      5095,         0,    16.4,pymatching,adbe57cf79b8737b647cf5697822a00e49d6acce2d46bc38301fc9ad5111ee8b,"{""d"":11,""p"":0.01,""r"":11}",
     10129,      5037,         0,    32.2,pymatching,a6900fd6bed55551a9324fce6310c3eaf2638be7c5a2028772c65fef0f39fd45,"{""d"":11,""p"":0.021544346900318822,""r"":11}",
     10065,      5018,         0,    47.8,pymatching,8386c8e2166a17d6c1c678214cc11d769bec043896aceb2c0d0a4c3d0aebe7f4,"{""d"":11,""p"":0.046415888336127774,""r"":11}",
     10193,      5021,         0,    55.8,pymatching,d6f44a2d084d5e77a5d3fe2edd33c5582bf854978e7e8249c35c8b134551703f,"{""d"":11,""p"":0.1,""r"":11}",
