     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   1156369,      5000,         0,    8.01,pymatching,6b2b82c7278521b097d3fd44f67842fd7304ae83d9e859edaf220d80683dc6ff,"{""d"":5,""p"":0.001,""r"":5}",
  11148561,      5000,         0,    47.3,pymatching,29c1ee885cd9c701c7c5c33b7178d6b2377b0cd6c7db88f2f29103f4c9d16ec9,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
     20753,      5243,         0,   0.742,pymatching,a9ad9d9d7322da06e02899230996f3a27abcb30d67f75223e825d50575e52d49,"{""d"":5,""p"":0.004641588833612777,""r"":5}",
 100000000,      4450,         0,   323.0,pymatching,c88bb28c1fea7d5e59d42d4f60a1c192bf7e3cfd53930e036adf481818479ea5,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
 100000000,       441,         0,   266.8,pymatching,416b3f0b0f3c5dd443500e98c8caf0de74d17ffbeb0402f5d2c15ca2b2fc7ea4,"{""d"":5,""p"":0.0001,""r"":5}",
    121105,      5035,         0,    1.95,pymatching,97ac49de3860ed9062cf7ee48e375ffc110aa4793d1febe7864e670c4f7b85cf,"{""d"":5,""p"":0.002154434690031882,""r"":5}",
     10513,      5172,         0,   0.898,pymatching,aeafd4b7a9a539cd386e8da6f0822246735bc7a3a287024e0eec2f7ebf463fbb,"{""d"":5,""p"":0.01,""r"":5}",
     10513,      5414,         0,    1.89,pymatching,f9dc4cbc6924b8bf263389488d678d7e4ec71ddbc829ef586700a69df46228fa,"{""d"":5,""p"":0.021544346900318822,""r"":5}",
     10513,      5272,         0,    2.43,pymatching,d8626470ef717b3f2a8cf438639366ab00eddec89bc3fd3cff3e682732df9a18,"{""d"":5,""p"":0.046415888336127774,""r"":5}",
     10513,      5255,         0,    2.98,pymatching,40790a306a405e6c0c3820b1b93bad30639a0c18e86a52282ffadbefb2392b5c,"{""d"":5,""p"":0.1,""r"":5}",
 100000000,         5,         0,   659.6,pymatching,e2e531d1f1035aa53b39ebad1ae72ec454156162ab74d95d06bf2e5bff19809a,"{""d"":7,""p"":0.0001,""r"":7}",
 100000000,       151,         0,   748.7,pymatching,10c5dceb693ea4955b749c47a0ebfa7151d044267f9a646505e1f9a38841275d,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
 100000000,      3544,         0,  1040.0,pymatching,26798af4664fb6c1873078a0e50c39aa8fe5051e49c6a4ac4aeb9220ea7eb5e5,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
   6111505,      5001,         0,   113.4,pymatching,b85dd09673693267253217c4ed5b7b680ee538d40791a1a8bb6c1ef0903ebf10,"{""d"":7,""p"":0.001,""r"":7}",
    262417,      5013,         0,    10.3,pymatching,777bee0fa37a47253aca11bde3456ead58a52a222f147fc426bdf9b3c5bd0760,"{""d"":7,""p"":0.002154434690031882,""r"":7}",
     19729,      5054,         0,    2.15,pymatching,afac1efaf0185bb60dd3cab415059be4364a11081a9feb8d09e527ac16b2dbf7,"{""d"":7,""p"":0.004641588833612777,""r"":7}",
     10513,      5316,         0,    2.97,pymatching,7cf6be318b891a1aa0afc2e10d27bbf01271b9af4863e353f31e89e1aa86ef75,"{""d"":7,""p"":0.01,""r"":7}",
     10513,      5260,         0,    5.56,pymatching,9621b0eb27d86655d2220096192faf45c291aa88e9545728238aa29e5831ad54,"{""d"":7,""p"":0.021544346900318822,""r"":7}",
     10001,      5050,         0,    7.21,pymatching,08d99a831ee0b225d7b0b2cac9729d1c84e5a3908d15a29b8ee7456f1b2ed45e,"{""d"":7,""p"":0.046415888336127774,""r"":7}",
     10513,      5248,         0,    8.89,pymatching,1c0586f52aa97bfd4f3570b403954bbc2e2d34aef5d7f39a5ce9446dc9846f2e,"{""d"":7,""p"":0.1,""r"":7}",
 100000000,         0,         0,  1143.5,pymatching,5f37a8377b792f351f35457aeded11d9eecdb17eeb00f5d4d62a68a6442baadc,"{""d"":9,""p"":0.0001,""r"":9}",
 100000000,         5,         0,  1531.0,pymatching,76ab84be36910b5eca7012384ef119014b2a5edf191192148e109779e8fd6804,"{""d"":9,""p"":0.00021544346900318845,""r"":9}",
 100000000,       248,         0,  2307.0,pymatching,293a6ca05aed388381facdb5830afbb45a3c0b2d742730f6e268a403131b8862,"{""d"":9,""p"":0.00046415888336127773,""r"":9}",
  35334690,      5056,         0,  1431.2,pymatching,42e75b1dac913c4883f61b3f5c289c7c5893fab26b6278b6b7528abf9d83247e,"{""d"":9,""p"":0.001,""r"":9}",
    626961,      5007,         0,    57.5,pymatching,73b8bd01bd1f0241dec64202d0677b5112bf4c7bc2bc336c0a5f6f154c7351a4,"{""d"":9,""p"":0.002154434690031882,""r"":9}",
     19729,      5035,         0,    5.36,pymatching,f91946e864b990e39daf9b8f2544a4ae04c5df820b6ead2ffc01fe16c4435a63,"{""d"":9,""p"":0.004641588833612777,""r"":9}",
     10513,      5239,         0,    7.63,pymatching,deca9e3eaff6d9c0c39285e0750f6a09d537844e4798b938b84f9d6c8fe60088,"{""d"":9,""p"":0.01,""r"":9}",
     10257,      5071,         0,    13.8,pymatching,8b08c89a57e7d60f3d5cbcfe61220e700b0472132e2c65e2f56964f87d4adccd,"{""d"":9,""p"":0.021544346900318822,""r"":9}",
     10257,      5054,         0,    18.5,pymatching,5fd17f85bdae3ca2c88409e74c8a3530546709b28182d1b21abeb7b7ee0faca1,"{""d"":9,""p"":0.046415888336127774,""r"":9}",
     10001,      5009,         0,    20.6,pymatching,638fc47205a843fce9e0e2021dd58ffbf1e54f4c9674e5c4b0581fa211f4fec8,"{""d"":9,""p"":0.1,""r"":9}",
 100000000,         0,         0,  2275.4,pymatching,fe3e81608d11e4ecb14b05c743a15b66ee718df368a7e9803f8680ec3a96e868,"{""d"":11,""p"":0.0001,""r"":11}",
 100000000,         0,         0,  2900.1,pymatching,40c305a381bcd83846e3e7d8737cdfdab7b34155bea2d1e7ac00e85a66f77d4c,"{""d"":11,""p"":0.00021544346900318845,""r"":11}",
 100000000,        11,         0,  4310.7,pymatching,d9f7ca7e3ffd42da768b0cd06266670e049732dd8d2e191236e613b2dd5f9c54,"{""d"":11,""p"":0.00046415888336127773,""r"":11}",
 100000000,      2354,         0,  8062.2,pymatching,f39da3730b70dcc48442f38f0dd236e8c09492b1f4542fb34a8466eeeaf35c9a,"{""d"":11,""p"":0.001,""r"":11}",
   1492241,      5004,         0,   270.5,pymatching,930cd58f066a20be6612f45a7109d3a680a7710023ddb46888d029e0f6776c86,"{""d"":11,""p"":0.002154434690031882,""r"":11}",
     20753,      5163,         0,    12.1,pymatching,78f509ee9552ee55bf686e39afa3200f8ee55be9a350a510003b2be901c138b4,"{""d"":11,""p"":0.004641588833612777,""r"":11}",
     10001,      5041,         0,    16.0,pymatching,b65ea3d7c16410dc6d2ffc5c56e807e2618030a82b48ffaa14e63f8f6e7e4a73,"{""d"":11,""p"":0.01,""r"":11}",
     10129,      5030,         0,    29.5,pymatching,eabadb0ad15285884052e8e4dac9706863400ebc766cc59e7c1325c6a2b1f1ff,"{""d"":11,""p"":0.021544346900318822,""r"":11}",
     10129,      5010,         0,    40.7,pymatching,a1ef2efd060c91984abbb9136900d19d209c4d6e4a563177b5e15f5916b0d569,"{""d"":11,""p"":0.046415888336127774,""r"":11}",
     10001,      5004,         0,    45.0,pymatching,4b4c9c30fd6d07552f86d31a60e66f70597dea064cff8e4490b557a7586a7394,"{""d"":11,""p"":0.1,""r"":11}",
