     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   3078417,     10536,         0,    19.7,pymatching,f99f943ab10c4a9bdba92a1712852b1f707ca671bd60065384cf151eb967413b,"{""d"":5,""p"":0.001,""r"":5}",
 100000000,       387,         0,   269.3,pymatching,5d39c8e36b4365c3cfa64881c630c2c6edc8c94e8524790e66206e11762547c3,"{""d"":5,""p"":0.0001,""r"":5}",
     67857,     13605,         0,    2.17,pymatching,cd22f58dbd1ab700f677f6710b783a1a001294f39d293ad5665a0330d4a3dbd1,"{""d"":5,""p"":0.004641588833612777,""r"":5}",
    361745,     11105,         0,    4.65,pymatching,27b9a4c7d4c76c6c0ae986f377d211ddf65e72da18d5e1a0298fcb97c2999fa1,"{""d"":5,""p"":0.002154434690031882,""r"":5}",
 100000000,      3632,         0,   327.4,pymatching,4266890cef3417750b4eb851699649a503bcae8aef4f201634d86eaeafd29dd9,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
  29301009,     10348,         0,   125.6,pymatching,20dcbdaa7cddd6f62fd7d8ea34d19be55353b6ffad9cf22f7d207988ea76d1a8,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
     40209,     19176,         0,    3.12,pymatching,16c71cd483b088b1d2c67f90dfbdd6f6bdb82588e3bb3958cac1bb603da5630e,"{""d"":5,""p"":0.01,""r"":5}",
     40209,     20139,         0,    6.09,pymatching,93e7ba06f7ba89ca6002feb7ca7d7c7c7386c9acb803488d5b3bb77c8f611470,"{""d"":5,""p"":0.021544346900318822,""r"":5}",
     40209,     20116,         0,    8.45,pymatching,737f9215773e1e3bc4ac4adea7651a6e07fc9e625924a86a762db2c7845813f9,"{""d"":5,""p"":0.046415888336127774,""r"":5}",
     40209,     20141,         0,    10.2,pymatching,4f79fe53d70dcc3f4d4a6964bbb0911d06bd06824f5c99e1d820889fdd8efacf,"{""d"":5,""p"":0.1,""r"":5}",
 100000000,         9,         0,   656.0,pymatching,f50f4ca31f86559a48f827dabc6c0e8486d9c0ee97c90eca0c45f9a215bd5442,"{""d"":7,""p"":0.0001,""r"":7}",
 100000000,       192,         0,   736.2,pymatching,6a9a4900b9a28768cde66c18f3810ce3c1a1d1bcc1043f3fe6c12c37e5746534,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
 100000000,      3887,         0,  1018.6,pymatching,424c4fe08ae3c503c26a79265b2864c15e2dbf897c2a73386aaa17fb02be824e,"{""d"":7,""p"":0.00046415888336127773,""r"":7}",
  12299537,     10176,         0,   216.1,pymatching,b4c685653875ebba732c0b92fd78b8104599c36d60c9f18ec8777e2f828d467e,"{""d"":7,""p"":0.001,""r"":7}",
    648465,     10788,         0,    24.7,pymatching,3c615abcb89f496ffdf42a752ebdeffbf641bb40988262d0870c49bb98eed201,"{""d"":7,""p"":0.002154434690031882,""r"":7}",
