     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   1000000,        67,         0,    3.56,pymatching,0dd73ddc1befb8e54c94e1fa6c079ef9beb0d6eee6d719ba0cbd82e592f60033,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
   1000000,      4029,         0,    8.06,pymatching,f9941e6fae7ac71c98774c2b3035d112e88a727fb0cb0e5dba6838eba85eebb8,"{""d"":5,""p"":0.001,""r"":5}",
     68881,     13257,         0,    2.43,pymatching,f119035492509e5aeed868bd52b76fd0c079ca7039ec1bf1e12068ffa5170079,"{""d"":5,""p"":0.004641588833612777,""r"":5}",
   1000000,         5,         0,    2.76,pymatching,55cfa5481bf10ab12d94eed7a6131b842a26bbe13a228be49019497abcd6352a,"{""d"":5,""p"":0.0001,""r"":5}",
    350754,     10982,         0,    4.98,pymatching,37d0b36929091e1d458c3293a57761dce565d4cb209443bd4915766655ef938d,"{""d"":5,""p"":0.002154434690031882,""r"":5}",
   1000000,       490,         0,    4.84,pymatching,3dc95f4bf3600a4215223db59cc96676a0cb57b5816d6203d63bec6f4fe09251,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
     41233,     19463,         0,    3.26,pymatching,a6c59d5a16f8fc8a44b732b2b9914c64e0cade1ec5ea365bc1daf6b8285d980b,"{""d"":5,""p"":0.01,""r"":5}",
     46626,     23252,         0,    7.07,pymatching,c3906fe471b7776adfa2c5d88683514a546eb505c3ef7e985727a548986f6eac,"{""d"":5,""p"":0.021544346900318822,""r"":5}",
     45124,     22447,         0,    10.1,pymatching,4886cbc427a772b56c65893572a129e06c748a2b1443e02b717ba9d4a1274532,"{""d"":5,""p"":0.046415888336127774,""r"":5}",
     50515,     25308,         0,    14.0,pymatching,ee0e546418ee0b2b322b60e668117a6238e50d9cfba3b697bc8ed4c33df2a32e,"{""d"":5,""p"":0.1,""r"":5}",
